Mamma Mia's Pizzeria,1103,http:\/\/springfield.eat24hours.com\,/mamma-mia-s-pizzeria\/37410
Dynasty Restaurant,1103,http:\/\/springfield.eat24hours.com\,/dynasty-restaurant\/53078
Main Wok ,1103,http:\/\/springfield.eat24hours.com\,/main-wok\/79128
Panda House,1103,http:\/\/springfield.eat24hours.com\,/panda-house\/24987
Empire Pizza,1103,http:\/\/springfield.eat24hours.com\,/empire-pizza\/30658
Palace Pizza,1103,http:\/\/springfield.eat24hours.com\,/palace-pizza\/57922
MJ's Pizza,1103,http:\/\/springfield.eat24hours.com\,/mj-s-pizza\/31517
Saray II,1103,http:\/\/springfield.eat24hours.com\,/saray-ii\/81439
Tao's Asian Cuisine,1103,http:\/\/springfield.eat24hours.com\,/tao-s-asian-cuisine\/81438
Rinaldi's Italian Specialties,1103,http:\/\/springfield.eat24hours.com\,/rinaldi-s-italian-specialties\/81436
The Collegian Court,1103,http:\/\/springfield.eat24hours.com\,/the-collegian-court\/83069
Antonio's Grinders - Longhill,1103,http:\/\/springfield.eat24hours.com\,/antonio-s-grinders-longhill\/81427
Antonio's Grinders - State,1103,http:\/\/springfield.eat24hours.com\,/antonio-s-grinders-state\/81426
John's Pizzeria &amp; Restaurant,1103,http:\/\/springfield.eat24hours.com\,/john-s-pizzeria-restaurant\/30700
Wild Olive Pizza,1103,http:\/\/springfield.eat24hours.com\,/wild-olive-pizza\/51081
King Pizza,1103,http:\/\/springfield.eat24hours.com\,/king-pizza\/28617
Paradise Pizza,1103,http:\/\/springfield.eat24hours.com\,/paradise-pizza\/80436
Frankie &amp; Johnnie's Pizza,1103,http:\/\/springfield.eat24hours.com\,/frankie-johnnie-s-pizza\/30773
China Bo Express,1103,http:\/\/springfield.eat24hours.com\,/china-bo-express\/76324
Nadim's Mediterranean Grill,1103,http:\/\/springfield.eat24hours.com\,/nadim-s-mediterranean-grill\/39647
Panjabi Tadka,1103,http:\/\/springfield.eat24hours.com\,/panjabi-tadka\/81434
Villa Napoletana,1103,http:\/\/springfield.eat24hours.com\,/villa-napoletana\/81440
Nadim's,1103,http:\/\/springfield.eat24hours.com\,/nadim-s\/81433
Priya Indian Cuisine,1103,http:\/\/springfield.eat24hours.com\,/priya-indian-cuisine\/73639
John's Pizzeria &amp; Restaurant,1104,http:\/\/springfield.eat24hours.com\,/john-s-pizzeria-restaurant\/30700
Jack Chen,1104,http:\/\/springfield.eat24hours.com\,/jack-chen\/9215
Janna Juice Bar &amp; Grill,1104,http:\/\/springfield.eat24hours.com\,/janna-juice-bar-grill\/94380
Dynasty Restaurant,1104,http:\/\/springfield.eat24hours.com\,/dynasty-restaurant\/53078
Main Wok ,1104,http:\/\/springfield.eat24hours.com\,/main-wok\/79128
Palace Pizza,1104,http:\/\/springfield.eat24hours.com\,/palace-pizza\/57922
China Bo Express,1104,http:\/\/springfield.eat24hours.com\,/china-bo-express\/76324
Saray II,1104,http:\/\/springfield.eat24hours.com\,/saray-ii\/81439
